"no","risk","name","building","address","lat","lon","naver_url","review_note","override_lat","override_lon","override_note"
"34","large-site","비아동제1투","비아동행정복지센터 (2층, 대회의실)","광주광역시 광산구 비아중앙로31번길 8-6 (비아동)","35.2222712","126.8244193","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%B9%84%EC%95%84%EC%A4%91%EC%95%99%EB%A1%9C31%EB%B2%88%EA%B8%B8%208-6%20%28%EB%B9%84%EC%95%84%EB%8F%99%29","","","",""
"35","lower","비아동제2투","산들바람유치원(1층)","광주광역시 광산구 비아로147번길 16 (비아동)","35.2236936","126.8204738","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%B9%84%EC%95%84%EB%A1%9C147%EB%B2%88%EA%B8%B8%2016%20%28%EB%B9%84%EC%95%84%EB%8F%99%29","","","",""
"36","school","첨단1동제1투","정암초등학교(1층, 학생회의실)","광주광역시 광산구 첨단과기로 104 (월계동)","35.2231291","126.8375989","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%B2%A8%EB%8B%A8%EA%B3%BC%EA%B8%B0%EB%A1%9C%20104%20%28%EC%9B%94%EA%B3%84%EB%8F%99%29","","35.2227388","126.8376747","정암초등학교 44m"
"37","school","첨단1동제2투","미산초등학교(1층, 바이올린부)","광주광역시 광산구 첨단중앙로181번길 70 (월계동)","35.2198468","126.8339328","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%B2%A8%EB%8B%A8%EC%A4%91%EC%95%99%EB%A1%9C181%EB%B2%88%EA%B8%B8%2070%20%28%EC%9B%94%EA%B3%84%EB%8F%99%29","","","",""
"38","school","첨단1동제3투","월계중학교(1층, 현관)","광주광역시 광산구 첨단중앙로181번길 82 (월계동)","35.2193597","126.832678","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%B2%A8%EB%8B%A8%EC%A4%91%EC%95%99%EB%A1%9C181%EB%B2%88%EA%B8%B8%2082%20%28%EC%9B%94%EA%B3%84%EB%8F%99%29","","","",""
"39","school","첨단1동제4투","첨단초등학교(1층, 늘봄4실)","광주광역시 광산구 임방울대로 727-20 (월계동)","35.2198325","126.8372866","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%9E%84%EB%B0%A9%EC%9A%B8%EB%8C%80%EB%A1%9C%20727-20%20%28%EC%9B%94%EA%B3%84%EB%8F%99%29","","35.2197235","126.8378798","첨단초등학교 55m"
"40","large-site","첨단1동제5투","광산구청소년수련관(1층, 에너지카페)","광주광역시 광산구 첨단중앙로182번길 39 (쌍암동)","35.2222111","126.8455054","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%B2%A8%EB%8B%A8%EC%A4%91%EC%95%99%EB%A1%9C182%EB%B2%88%EA%B8%B8%2039%20%28%EC%8C%8D%EC%95%94%EB%8F%99%29","","","",""
"41","school","첨단2동제1투","산월초등학교(1층, 다목적실)","광주광역시 광산구 산월로9번길 36 (월계동 847-1)","35.2109398","126.8393243","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%82%B0%EC%9B%94%EB%A1%9C9%EB%B2%88%EA%B8%B8%2036%20%28%EC%9B%94%EA%B3%84%EB%8F%99%20847-1%29","","35.2107673","126.8389747","산월초등학교 37m"
"42","large-site","첨단2동제2투","라인1차아파트 경로당(1층)","광주광역시 광산구 월계로 117-32 (월계동, 라인1차아파트)","35.2163601","126.8406203","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%9B%94%EA%B3%84%EB%A1%9C%20117-32%20%28%EC%9B%94%EA%B3%84%EB%8F%99%2C%20%EB%9D%BC%EC%9D%B81%EC%B0%A8%EC%95%84%ED%8C%8C%ED%8A%B8%29","","","",""
"43","large-site","첨단2동제3투","두산1차아파트 경로당(1층)","광주광역시 광산구 월계로 117-21 (월계동 764-4 , 두산1차아파트)","35.2154048","126.8368702","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%9B%94%EA%B3%84%EB%A1%9C%20117-21%20%28%EC%9B%94%EA%B3%84%EB%8F%99%20764-4%20%2C%20%EB%91%90%EC%82%B01%EC%B0%A8%EC%95%84%ED%8C%8C%ED%8A%B8%29","","","",""
